Systematic Name,Transcriptional Plasticity
YPR197C,0.164834586
YGL232W,0.164849861
YDR217C,0.164866462
YGL020C,0.164867494
YGR036C,0.164888521
YJR101W,0.164950706
YLR166C,0.164951905
YGL086W,0.165008949
YDR082W,0.165016021
YPR037C,0.165089059
YDR159W,0.165182355
YDR331W,0.165203602
YGR115C,0.165230514
YKL214C,0.165262112
YKL090W,0.165353795
YKL160W,0.165378818
YFR046C,0.165419474
YJR056C,0.165421722
YKR030W,0.165428254
YDR332W,0.165467392
YIL035C,0.165503267
YNR040W,0.165544686
YOR037W,0.165603558
YBR041W,0.165707426
YJR138W,0.165831001
YDR131C,0.165846226
YLR115W,0.165865841
YBL006C,0.165869391
YER186C,0.165897897
YNL298W,0.165903718
YJL174W,0.165917342
YGL203C,0.165926234
YGL107C,0.165993049
YPL005W,0.166012057
YLR094C,0.166029915
YDR470C,0.166040938
YDR442W,0.166072337
YOR002W,0.166085534
YNL035C,0.166129618
YER139C,0.166209051
YJL073W,0.166317243
YLR052W,0.166389106
YDR291W,0.166417557
YNL137C,0.166438407
YKL077W,0.166464199
YBR246W,0.166514936
YKR047W,0.166602476
YPR117W,0.166718657
YDR028C,0.166726741
YKL114C,0.166744178
YOL094C,0.166875293
YKL222C,0.166907919
YOR266W,0.166937453
YKR065C,0.166971123
YPR063C,0.166976185
YAR019C,0.167013424
YBL011W,0.16709829
YMR156C,0.1671479
YDR073W,0.16726135
YOR069W,0.167279613
YKL028W,0.167387086
YLR147C,0.167388394
YJL204C,0.167388855
YGL066W,0.167424064
YAL043C,0.16743994
YPL236C,0.167561377
YMR029C,0.167593075
YIR023W,0.167610166
YER125W,0.16763948
YGR113W,0.16764995
YJR049C,0.167665024
YDL120W,0.167671085
YDR150W,0.167721731
YKL207W,0.167766484
YMR270C,0.167797802
YDR166C,0.167879892
YML079W,0.167893456
YDR458C,0.167896059
YDR485C,0.167905193
YBL056W,0.167960886
YDL226C,0.167975772
YOL023W,0.167977465
YCL029C,0.167983056
YLR010C,0.167987364
YMR024W,0.167989075
YMR171C,0.168012095
YJR146W,0.168029076
YOR250C,0.168033798
YMR204C,0.16809292
YOR279C,0.168106494
YBL103C,0.168112173
YGR217W,0.168128504
YBR278W,0.168143216
YPR178W,0.168208272
YML019W,0.168305232
YNL008C,0.168324938
YOR061W,0.168439219
YKL040C,0.168480501
YDL144C,0.16849343
YNL219C,0.16852924
YOL069W,0.168537065
YOR238W,0.168547874
YHR168W,0.168562863
YIL006W,0.168566069
YKL105C,0.168574539
YGR275W,0.168575
YBR211C,0.168647715
YNL284C,0.168770605
YGR092W,0.168774896
YPL213W,0.168815421
YDR057W,0.168821386
YLR398C,0.168845148
YOL065C,0.168893565
YOR174W,0.168921152
YER097W,0.168934623
YPR131C,0.168941611
YER071C,0.168996379
YLR266C,0.169070733
YNL224C,0.169087351
YJR062C,0.169216848
YGL071W,0.169331933
YPR014C,0.169400421
YPR170C,0.169553011
YGL167C,0.169643829
YOR251C,0.169674611
YNL041C,0.169745065
YDL017W,0.169753652
YHL014C,0.169765581
YGL211W,0.169770902
YLR399C,0.169813962
YML013W,0.169852343
YPR173C,0.169860391
YPR011C,0.169903838
YOR308C,0.169937822
YBR129C,0.16994839
YLR426W,0.170067191
YML062C,0.170067711
YJR052W,0.170144035
YIL003W,0.170151492
YBR289W,0.17025956
YGL142C,0.170308359
YPL051W,0.170310174
YBL019W,0.170491
YER008C,0.170536066
YDL032W,0.170591741
YPR086W,0.17060749
YPR087W,0.170624531
YMR274C,0.170634012
YFL005W,0.170646641
YDR514C,0.170667005
YNL068C,0.17070534
YBR089C-A,0.170725131
YDR014W,0.170749144
YOR014W,0.170803126
YDR296W,0.170878785
YFR043C,0.170901368
YDR203W,0.170904797
YLR439W,0.170909472
YPL195W,0.170940251
YNL089C,0.170950105
YPR121W,0.170981886
YMR150C,0.170987262
YCR075C,0.170990641
YJL084C,0.170991576
YOR269W,0.171032008
YPL007C,0.171064631
YNL206C,0.171071898
YEL008W,0.17112624
YML086C,0.171148189
YOL068C,0.171166955
YDR484W,0.17117139
YDR160W,0.171182068
YMR113W,0.171297548
YOR094W,0.171318798
YDL080C,0.171353456
YJR033C,0.171371389
YDR054C,0.171386283
YCR042C,0.171394099
YPL035C,0.171428771
YIL130W,0.171431195
YHL009C,0.171444168
YOR211C,0.171477128
YGR004W,0.1715855
