Systematic Name,Protein Half-life
YOR321W,6.760268
YFR019W,6.766429
YBR291C,6.779279
YDR005C,6.786056
YKL048C,6.788581
YGR002C,6.794756
YDR322C-A,6.795125
YKR067W,6.798349
YOL068C,6.802052
YAL024C,6.802584
YLR393W,6.808589
YOR341W,6.812364
YER155C,6.816548
YOR246C,6.820394
YGR244C,6.824685
YKR014C,6.826157
YOR205C,6.834072
YPR047W,6.834612
YJL019W,6.8352
YGL025C,6.835919
YCR075C,6.837516
YGL150C,6.83808
YBL030C,6.841365
YMR227C,6.841905
YCR086W,6.843833
YGR150C,6.844777
YIL149C,6.847178
YOR091W,6.850619
YMR311C,6.854813
YJR062C,6.86763
YDL104C,6.868004
YMR172W,6.869038
YNL218W,6.870701
YOR370C,6.8715
YLR020C,6.871719
YMR213W,6.871926
YBL046W,6.872907
YDL167C,6.873352
YDR397C,6.875901
YBR223C,6.876578
YNR015W,6.880717
YBR015C,6.889516
YPR020W,6.89219
YDR379W,6.893101
YPL215W,6.895058
YOR213C,6.896228
YCR083W,6.899114
YGL181W,6.905621
YMR117C,6.906207
YGL144C,6.908636
YPL023C,6.914164
YNL090W,6.916938
YPR098C,6.92127
YHL029C,6.923277
YML046W,6.923406
YAL001C,6.927215
YMR083W,6.930664
YIR038C,6.932253
YNL091W,6.936583
YDR194C,6.937844
YBL080C,6.938081
YPL049C,6.938684
YMR059W,6.940888
YOR163W,6.950545
YDR296W,6.954402
YDL160C-A,6.959769
YER159C,6.965456
YNL002C,6.965824
YMR282C,6.967258
YGR091W,6.971516
YDR153C,6.976042
YJR002W,6.977725
YKR010C,6.980845
YPL016W,6.980861
YCL059C,6.983983
YGL061C,6.98642
YER061C,6.989233
YBR230C,6.991993
YPR173C,6.998482
YPL013C,6.999346
YNL151C,7.001371
YGR222W,7.004113
YDL090C,7.008239
YCR087C-A,7.010384
YOR101W,7.012938
YBR058C-A,7.01591
YNL148C,7.018227
YDL220C,7.019327
YDR412W,7.019421
YHR110W,7.02571
YOR111W,7.026975
YPR088C,7.027553
YLR093C,7.028813
YKL063C,7.03105
YNL215W,7.031127
YFR005C,7.033414
YPR032W,7.038568
YIL157C,7.039072
YLR083C,7.039275
YLL009C,7.039588
YJL097W,7.043882
YPR048W,7.046298
YBL006C,7.046757
YDR119W,7.048258
YPR057W,7.048594
YGR237C,7.048841
YOR336W,7.050169
YAL044C,7.050414
YOR118W,7.058389
YML098W,7.059048
YNR012W,7.059778
YGR271C-A,7.062083
YDR359C,7.066775
YDL019C,7.069925
YMR281W,7.070707
YDR465C,7.075578
YPL180W,7.076343
YDL046W,7.078707
YMR318C,7.078881
YDL098C,7.080507
YNL023C,7.08061
YBR152W,7.081286
YHR182W,7.087825
YAL022C,7.092287
YGR038W,7.093758
YPR156C,7.093796
YGR231C,7.101937
YNL191W,7.105413
YML034W,7.105579
YBR205W,7.106537
YOL083W,7.107631
YNR008W,7.116552
YOR103C,7.116699
YPR115W,7.118243
YJL081C,7.120782
YHR081W,7.12284
YMR266W,7.123149
YPL112C,7.123221
YPR086W,7.132061
YGR255C,7.139822
YJR124C,7.141254
YFL044C,7.142879
YML117W,7.144097
YKL014C,7.144672
YKL143W,7.149261
YEL046C,7.156281
YDR337W,7.15754
YDR272W,7.161036
YJL033W,7.16186
YOL033W,7.164268
YDR288W,7.167137
YOR150W,7.167609
YER006W,7.172229
YDL063C,7.172647
YBL035C,7.18808
YML052W,7.193139
YKR036C,7.19343
YFL048C,7.208008
YNL317W,7.208655
YLR245C,7.210593
YAL058W,7.213101
YDR237W,7.217903
YMR111C,7.219159
YPR107C,7.227379
YDL153C,7.227766
YPL059W,7.228026
YPR062W,7.233177
YMR284W,7.234708
YNR003C,7.236275
YNL088W,7.236786
YML080W,7.240996
YMR123W,7.244648
YDR298C,7.248122
YIL107C,7.256783
YOR179C,7.257265
YPL228W,7.258766
YBR029C,7.26392
YDL076C,7.273199
YPR033C,7.274239
YKL059C,7.276687
YDR391C,7.289913
YNL251C,7.290947
YLR348C,7.29375
YMR102C,7.295068
YNL320W,7.295744
YBR006W,7.297211
YCR004C,7.30479
YMR231W,7.307295
YGL064C,7.312359
YJL126W,7.316395
YMR135C,7.325594
YER058W,7.327131
YPR083W,7.329567
YGL095C,7.332396
YGR057C,7.336892
YER034W,7.337491
YCL044C,7.339199
YGR033C,7.339377
YJL112W,7.339935
YAL019W,7.341164
YJR063W,7.347197
YGR047C,7.348897
YHR154W,7.351146
YLR015W,7.351595
YIL044C,7.351976
YJL201W,7.356894
YOL158C,7.357432
YGR186W,7.357707
YPR186C,7.35773
YPL110C,7.358553
YGR275W,7.36015
YOR371C,7.360973
YNL280C,7.363069
YGR126W,7.363619
YLR455W,7.373235
YGR287C,7.377053
YDR228C,7.38395
YNL183C,7.388952
YPR101W,7.389635
YMR134W,7.394195
YAL041W,7.394828
YLR045C,7.397002
YCL024W,7.398396
YPL141C,7.400786
YLR175W,7.402205
YHR037W,7.403144
YDR028C,7.405079
YGL197W,7.409366
YER047C,7.413705
YDR503C,7.414812
YOL005C,7.416872
YNL119W,7.418613
YJR024C,7.420066
YFL002C,7.423584
YKL166C,7.42364
YMR216C,7.426053
YMR290C,7.426518
YML010W,7.428817
YLR424W,7.430654
YGR075C,7.439012
YKL100C,7.440162
YOR212W,7.441567
YLR203C,7.442434
YLR244C,7.442554
YDR056C,7.443886
YBL051C,7.446223
YLR362W,7.448498
YOL065C,7.450095
YKL168C,7.452878
YLR309C,7.453751
YDL203C,7.455228
YDR409W,7.460248
YNL273W,7.461164
YJL044C,7.46319
YGR229C,7.465944
YHR011W,7.466643
YKR056W,7.46685
YKL079W,7.470033
YNL261W,7.470213
YER078C,7.470944
YDR036C,7.472026
YML015C,7.472826
YDR468C,7.473596
YDL087C,7.476656
YMR197C,7.481918
