complex,count,Systematic Name
TRAPP complex,11,"['YBR254C', 'YDR108W', 'YDR246W', 'YDR407C', 'YDR472W', 'YEL048C', 'YGR166W', 'YKR068C', 'YML077W', 'YMR218C', 'YOR115C']"
TRAPPI protein complex,6,"['YBR254C', 'YDR246W', 'YDR472W', 'YKR068C', 'YML077W', 'YOR115C']"
TRAPPII protein complex,10,"['YBR254C', 'YDR246W', 'YDR407C', 'YDR472W', 'YEL048C', 'YGR166W', 'YKR068C', 'YML077W', 'YMR218C', 'YOR115C']"
TRAPPIII protein complex,7,"['YBR254C', 'YDR108W', 'YDR246W', 'YDR472W', 'YKR068C', 'YML077W', 'YOR115C']"
TRC complex,6,"['YBR137W', 'YLL026W', 'YNL064C', 'YOL111C', 'YOR007C', 'YOR164C']"
Tec1p-Ste12p-Dig1p complex,3,"['YBR083W', 'YHR084W', 'YPL049C']"
U1 snRNP,19,"['YBR119W', 'YDL087C', 'YDR235W', 'YDR240C', 'YER029C', 'YFL017W-A', 'YGR013W', 'YGR074W', 'YHR086W', 'YIL061C', 'YKL012W', 'YLR147C', 'YLR275W', 'YLR298C', 'YML046W', 'YNL210W', 'YOR159C', 'YPR182W', 'snR19']"
U2 snRNP,13,"['YCR063W', 'YIR005W', 'YIR009W', 'YJL203W', 'YML049C', 'YMR240C', 'YMR288W', 'YNCB0019C', 'YNL138W-A', 'YNL286W', 'YOR319W', 'YPL213W', 'YPR094W']"
U2-type catalytic step 1 spliceosome,13,"['YAL032C', 'YBR188C', 'YDL209C', 'YDR416W', 'YGR129W', 'YGR278W', 'YJR050W', 'YKL095W', 'YLL036C', 'YLR117C', 'YMR213W', 'YNR011C', 'YPR101W']"
U2-type catalytic step 2 spliceosome,8,"['YAL032C', 'YDL209C', 'YDR416W', 'YER013W', 'YGR129W', 'YJR050W', 'YKR086W', 'YLR117C']"
U2-type post-mRNA release spliceosomal complex,5,"['YDR416W', 'YGR129W', 'YKR022C', 'YLR117C', 'YLR424W']"
U2-type post-spliceosomal complex,3,"['YDR088C', 'YER013W', 'YGR006W']"
